Требования (текстовые), Требования(Макеты)				
Чек-лист и результаты выполнения тестов: тестирование вёрстки				
Чек-лист и результаты выполнения тестов: тестирование вёрстки: Форма бронирования для тарифа "Повседневный"				
№	Описание проверки	Яндекс Браузер, 800×600	Firefox, 1920×1080	Ссылка на баг-репорт
Т1	Под окном с адресом маршрута есть форма бронирования 	Passed	Passed	
Т2	Форма у окна формы бронирования прямоугольная с укругленными углами 	Passed	Passed	
Т3	Имеются границы серого цвета у окна формы бронирования 	Passed	Passed	
Т4	Фон внутри окна формы бронирования - белый	Passed	Passed	
Т5	Полосы прокрутки нет, если весь контент и так помещается на одной странице.	Skipped	Failed	Б-1 , В Яндекс Браузере при разрешении 800*600 весь контент в форме бронирования не помещается, поэтому имееется полоса прокрутки 
Т6	В верхнем левом углу формы бронирования располагается кнопка со стрелкой влево для возрата выбора транспорта	Passed	Passed	
Т7	В вверху формы бронирования имеются иконки тарифов в виде машин (серая, синяя, зелёная) ,	Passed	Passed	
Т8	Стартовое состояние формы бронирования - выбран тариф Повседневный, поля «Добавить права» и «Способ оплаты» пустые	Passed	Passed	
Т9	Для выбора доступно три тарифа: Повседневный, Походный, Роскошный	Passed	Passed	
Т10	Область выбранного тарифа для каршеринга подсвечивается серым	Failed	Failed	Б-2
Т11	Текст выбранного тарифа для каршеринга меняется с серого на чёрный 	Passed	Passed	
Т12	Под иконками машин есть названия тарифных планов (Повседневный, походный, роскошный)	Passed	Passed	
Т13	Названия тарифных планов выполнены серым шрифтом 	Passed	Passed	
тестирование вёрстки: Блок с деталями				
Т14	Под названиями тарифов есть блок с деталями тарифа 	Passed	Passed	
Т15	Форма блока с деталями тарифа прямоугольная с укругленными углами 	Passed	Passed	
Т16	Цвет фона внутри блока с деталями тарифа - белый	Passed	Passed	
Т17	Имеются границы серого цвета у блока с деталями тарифа	Passed	Passed	
Т18	В центре блока с деталями тарифа марка машины "BMW 750" 	Passed	Passed	
Т19	Цвет текста марки машины - чёрный	Passed	Passed	
Т20	Текст марки машины выронен по центру	Passed	Passed	
Т21	Под маркой машины имеется Заголовок тарифа "Просто по делам, ничего лишнего"	Passed	Passed	
Т22	Цвет текста заголовка тарифа - чёрный	Passed	Passed	
Т23	Заголовок тарифа выронен по центру	Passed	Passed	
Т24	Под Заголовком есть подзаголовок тарифа "n мин — 15 минут бесплатного ожидания"	Passed	Passed	
Т25	Цвет текста подзаголовка тарифа - серый	Passed	Passed	
Т26	Подзаголовок тарифа выронен по центру	Passed	Passed	
Т27	Под подзаговком тарифа иконка серой машины	Passed	Passed	
Т28	Иконка машины выронена по центру	Passed	Passed	
Т29	Под иконкой есть дополнительные параметры "видеорегистратор · зарядка для телефона"	Passed	Passed	
Т30	Цвет текста дополнительных параметров - серый	Passed	Passed	
Т31	Текст дополнительных параметров выровнен по центру	Passed	Passed	
Тестирование вёрстки: Добавить права				
Т32	Под блоком с деталями есть Кнопка-поле "Добавить права"	Passed	Passed	
Т33	Форма у Кнопки-поля "Добавить права" - прямоугольная, с укруглёнными углами	Passed	Passed	
Т34	Цвет границ у Кнопки-поля "Добавить права" - серая	Passed	Passed	
Т35	Фон внутри Кнопки-поля "Добавить права" - белая	Passed	Passed	
Т36	Внутри Кнопки-поля "Добавить права" есть текст - "Добавить права"	Passed	Passed	
Т37	Текст Кнопки-поля "Добавить права" не касается границ	Passed	Passed	
Т38	Цвет текста Кнопки-поля "Добавить права" - серый	Passed	Passed	
Т39	Текст Кнопки-поля "Добавить права" выровнен по левому краю с оступом 	Passed	Passed	
Т40	При нажатии на Кнопку-поля "Добавить права" открывает окно "Добавление прав"	Passed	Passed	
Т41	Если документы прошли верификацию, рамка Кнопки-поля подсвечивается зелёным	Passed	Passed	
Т42	Текст Кнопки-поля "Добавить права" меняется на "Права"	Passed	Passed	
Т43	Цвет текста поля "Права" - чёрный	Passed	Passed	
Т44	Текст поля "Права" выровнен по правому краю с оступом  	Passed	Passed	
Т45	У правого края внутри Кнопки-поля "Добавить права" появляется зелёная галочка, после прохожедния верификации	Failed	Failed	Б-16
Т46	Если документы не прошли верификацию, рамка поля подсвечивается красным	Skipped	Skipped	Функция провала верификации не реализована, поэтому пропуск
Т47	У правого края внутри Кнопки-поля "Добавить права" появляется красный крестик	Skipped	Skipped	
Т48	Если нажать на Кнопку-поле после провала верификации, снова откроется форма «Добавление прав»	Skipped	Skipped	
Тестирование вёрстки: Способ оплаты                                				
Т49	Под кнопкой-полем "Добавить права" есть Кнопка-поле "Способ оплаты"	Passed	Passed	
Т49	Форма у Кнопки-поля "Способ оплаты" - прямоугольная, с укруглёнными углами	Passed	Passed	
Т50	Цвет границ у Кнопки-поля "Способ оплаты" - серый	Passed	Passed	
Т51	Фон внутри Кнопки-поля "Способ оплаты" - белый	Passed	Passed	
Т52	Внутри Кнопки-поля "Способ оплаты" есть текст - "Способ оплаты"	Passed	Passed	
Т53	Текст Кнопки-поля "Способ оплаты" не касается границ	Passed	Passed	
Т54	Цвет текста у Кнопки-поля "Способ оплаты" - серый 	Passed	Passed	
Т55	Текст Кнопки-поля "Способ оплаты" выровнен по левому краю с оступом	Passed	Passed	
Т56	Справа от текста "Способ оплаты" есть текст "Добавить"	Passed	Passed	
Т57	Цвет текста "Добавить" - серый	Passed	Passed	
Т58	Справа от текста "Добавить" есть иконка пластиковой карточки	Passed	Passed	
Т59	Справа от Иконки есть стрелка вправо	Passed	Passed	
Т60	После добавления карты, Текст "Добавить" меняется на "Карта"	Passed	Passed	
Т61	Цвет текста "Карта" - серый	Passed	Passed	
Тестирование вёрстки: Требования к заказу				
Т62	Под блоками с деталями тарифа имеется выпадающее меню с требованиями к заказу 	Passed	Passed	
Т63	В блоке с требованиями к заказу есть текст: "Требования к заказу"	Passed	Passed	
Т64	Цвет текста "Требования к заказу" - серый	Passed	Passed	
Т65	Текст "Требования к заказу" отцентрован по левую сторону области формы бронирования	Passed	Passed	
Т66	В блоке требования к заказу есть стрелка вниз для раскрытия выпадающего списка  	Passed	Passed	
Т67	Стрелка вниз изменяется на стрелку вверх, при нажатии на стрелку	Passed	Passed	
Т68	Стрелка вверх изменяется на стрелку вниз, при повторной нажатии на стрелку 	Passed	Passed	
Т69	Стартовое состояние требования к заказу - выпадающий список свёрнут 	Failed	Failed	Б-3
Т70	Список разворачивается и сворачивается	Passed	Passed	
Т71	Цвет полосы прокрутки - серый	Passed	Passed	
Т72	Толщина полосы прокутки - широкая	Passed	Failed	Б-4
Т73	Полоса прокрутки распологается в правом краю формы бронирования	Passed	Passed	
Т74	Между полосы прокрутки имеются стрелки располагаются в правом верхней и нижней краях формы бронирования	Passed	Failed	Б-5
Т75	Можно двигаться по полосе прокрутки мышью, кнопками Page up, Page down, Home и End.	Passed	Passed	
Т76	Под тесктом "Требования к заказу" - опция "Зарядка для телефона"	Passed	Passed	
Т77	Текст "Зарядка для телефона" отцентрован по левую краю области требования к заказу 	Passed	Passed	
Т78	Цвет текста "Зарядка для телефона" - чёрный	Passed	Passed	
Т79	Справа от текста "Зарядка для телефона" - чекбокс переключатель 	Passed	Passed	
Т80	Чекбокс отценирован по правому краю области требования к заказу 	Passed	Passed	
Т81	Форма чекбокса - овальная, внутри чекбокса есть белый круг	Passed	Passed	
Т82	Фон внутри чекбокса - серый, при состоянии "Не выбран"	Passed	Passed	
Т83	Круг расположен в левой стороне области внутри чекбокса, при состоянии "Не выбран"	Passed	Passed	
Т84	Фон внутри чекбокса - синий, при состоянии "Выбран"	Passed	Passed	
Т85	Круг расположен в правой стороне области внутри чекбокса, при состоянии "Выбран"	Passed	Passed	
Т86	По умолчанию чекбокс "Зарядка для телефона" - не выбран, 	Passed	Passed	
Т87	Под опцией "Зарядка для телефона" - опция "Светомузыка"	Passed	Passed	
Т88	Текст "Светомузыка" отцентрован по левую краю области требования к заказу 	Passed	Passed	
Т89	Цвет текста "Светомузыка" - черный 	Passed	Passed	
Т90	под текстом "Светомузыка" описание:  Доступно в тарифе «Роскошный»	Failed	Failed	Б-6
Т91	Текст описания - отцентрован по левую краю области требования к заказу 	Passed	Passed	
Т92	Цвет текста - серый 	Passed	Passed	
Т93	Справа от текста "Светомузыка" - иконка зелёной машины и стрелка вправо	Passed	Passed	
Т94	При нажатии на опцию "Светомузыка" - меняет тариф на Роскошный	Passed	Passed	
Т95	между "Требования к заказу", "Зарядка для телефона" и "Светомузыка" разделяются линиями	Passed	Passed	
Т96	Цвет линий разделения - серый	Passed	Passed	
Тестирование вёрстки: Всплывающие окна: «Машина забронирована»				
Т97	При нажатии на кнопку "Забронировать" появляется окно «Машина забронирована»	Passed	Passed	
Т98	Окно «Машина забронирована» не сливается с другими элементами вёрстки	Failed	Passed	Б-19
Т99	Форма окна «Машина забронирована» - прямоугольная, с укруглёнными углами	Passed	Passed	
Т100	Фон внутри окна «Машина забронирована» - белый 	Passed	Passed	
Т101	Вверху окна есть текст -"Машина забронирована"	Passed	Passed	
Т102	Цвет текста "Машина забронирована" - чёрный	Passed	Passed	
Т103	Текст "Машина забронирована" - отцентрован по левую краю области окна «Машина забронирована»	Passed	Passed	
Т104	Ниже текста "Машина забронирована" есть текст "Бесплатное ожидание"	Passed	Passed	
Т105	Цвет текста "Блесплатное ожидание" - чёрный	Passed	Passed	
Т106	Текст "Блесплатное ожидание" отцентрован по левую краю области окна «Машина забронирована»	Passed	Passed	
Т107	Справа от текста «Машина забронирована» есть таймер	Passed	Passed	
Т108	Цвет цифр таймера - чёрный 	Passed	Passed	
Т109	Стартовое состояние таймера - 15 минут	Failed	Failed	Б-20
Т110	Таймер отцентрован по правому краю области окна «Машина забронирована»	Passed	Passed	
Т111	Ниже текста "Бесплатное ожидание" есть марка автомобиля и его номерной знак  	Failed	Failed	Б-21
Т112	Цвет текста - чёрный	Passed	Passed	
Т113	Текст находятся по центру области окна «Машина забронирована»	Passed	Passed	
Т114	Ниже марки автомобиля и его номерного знака есть иконка серой машины	Passed	Passed	
Т115	Иконка серой машины находится по центру окна «Машина забронирована»	Passed	Passed	
Т116	Ниже иконки серой машины есть иконка с крестиком внутри	Passed	Passed	
Т117	Иконка с крестиком внутри находится по центру области окна «Машина забронирована»	Passed	Passed	
Т118	Ниже иконки есть текст: "Отменить"	Passed	Passed	
Т119	Цвет текста "Отменить" - серый	Passed	Passed	
Т120	Текст "Отменить" находится по центру окна области «Машина забронирована»	Passed	Passed	
Т121	При нажатии на кнопку "Отменить" то открывает окно «Вы уверены, что хотите отменить поездку?»	Blocked	Blocked	Б-17
Т122	Ниже текста "Отменить" есть иконка голубого круга 	Passed	Passed	
Т123	Иконка голубого круга отцентрован по левому краю области окна «Машина забронирована»	Passed	Passed	
Т124	Справа от иконки голубого круга есть текст адреса	Passed	Passed	
Т125	Цвет текста адреса - чёрный	Passed	Passed	
Т126	Текст адреса отцентрован по левому краю области окна «Машина забронирована»	Passed	Passed	
Т127	Ниже текста адресса есть текст: "Адрес машины"	Passed	Passed	
Т128	Цвет текста "Адрес машины" - серый	Passed	Passed	
Т129	Текст "Адрес машины" отцентрован по левому краю области окна «Машина забронирована»	Passed	Passed	
Т130	Ниже текста "Адрес машины" есть иконка с I внутри 	Passed	Passed	
Т131	Иконка с I внутри отцентрована по левому краю области окна «Машина забронирована»	Passed	Passed	
Т132	Справа от иконки с I внутри есть текст: "Ещё про поездку"	Passed	Passed	
Т133	Цвет текста "Ещё про поездку" - чёрная	Passed	Passed	
Т134	Текст "Ещё про поездку" отцентрован по левому краю области окна «Машина забронирована»	Passed	Passed	
Т135	Ниже текста "Ещё про поездку" есть стоимость поездки	Passed	Passed	
Т136	Цвет текста стоимости поездки - серый	Passed	Passed	
Т137	Текст стоимости поездки отцентрован по левому краю области окна «Машина забронирована»	Passed	Passed	
Т138	Если поля «Откуда» и «Куда» заполнены, отображается точная стоимость поездки	Passed	Passed	
Т139	Если поля «Откуда» и «Куда» не заполнены ,то отображается только стоимость за минуту	Skipped	Skipped	Б-14
Тестирование вёрстки: Всплывающие окна: «Вы уверены, что хотите отменить поездку?»				
Т140	Форма окна «Вы уверены, что хотите отменить поездку?»  - прямоугольная, с укруглёнными углами	Blocked	Blocked	Б-17
Т141	Фон внутри окна «Вы уверены, что хотите отменить поездку?» - белый	Blocked	Blocked	
Т142	Вверху есть текст - "Вы уверены, что хотите отменить поездку?"	Blocked	Blocked	
Т143	Цвет текста "Вы уверены, что хотите отменить поездку?" - чёрный	Blocked	Blocked	
Т144	Текст "Вы уверены, что хотите отменить поездку?" расположен по центру области окна "Вы уверены, что хотите отменить поездку?"	Blocked	Blocked	
Т145	Ниже текста "Вы уверены, что хотите отменить поездку?" есть кнопки: "Нет" и "Да"	Blocked	Blocked	
Т146	Формы кнопки "Нет" - прямоугольные с укруглёнными углами	Blocked	Blocked	
Т147	Формы кнопки "Да" - прямоугольные с укруглёнными углами	Blocked	Blocked	
Т148	Фон внутри кнопки "Нет" - серый	Blocked	Blocked	
Т149	Фон внутри кнопки "Да" - синий	Blocked	Blocked	
Т150	Цвет текста внутри кнопки "Нет" - белый	Blocked	Blocked	
Т151	Цвет текста внутри кнопки "Да" - белый	Blocked	Blocked	
Т152	Текст "Нет" расположен по центру области кнопки "Нет"	Blocked	Blocked	
Т153	Текст "Да" расположен по центру области кнопки "Да"	Blocked	Blocked	
Т154	Кнопка "Нет" отцентрована по левому краю области окна "Вы уверены, что хотите отменить поездку?" 	Blocked	Blocked	
Т155	Кнопка "Да"отцентрована по правому краю области окна "Вы уверены, что хотите отменить поездку?" 	Blocked	Blocked	
Т156	При нажатии на кнопку "Нет", открывает окно «Машина забронирована»	Blocked	Blocked	
Т157	При нажатии на кнопку "Да", открывает окно «Поездка отменена»	Blocked	Blocked	
Тестирование вёрстки: Всплывающие окна: «Поездка отменена»				
Т158	Форма окна «Поездка отменена»  - прямоугольная, с укруглёнными углами	Skipped	Skipped	Окно «Поездка отменена» не сможет открыться без открытого окна «Вы уверены, что хотите отменить поездку?», которая не открывается из бага 17
Т159	Фон внутри окна «Поездка отменена» - белый	Skipped	Skipped	
Т160	Вверху есть текст: «Поездка отменена»	Skipped	Skipped	
Т161	Цвет текста «Поездка отменена» - чёрная 	Skipped	Skipped	
Т162	Текст «Поездка отменена» расположена по центру области окна «Поездка отменена»	Skipped	Skipped	
Т163	Ниже текста «Поездка отменена» есть кнопка "Принято"	Skipped	Skipped	
Т164	Форма кнопки "Принято" - прямоугольная, с укруглёнными углами	Skipped	Skipped	
Т165	Фон внутри кнопки "Принято" - синий	Skipped	Skipped	
Т166	Цвет текста внутри кнопки "Принято" - белый	Skipped	Skipped	
Т167	Текст "Принято" расположена по центру области кнопки "Принято"	Skipped	Skipped	
Т168	Кнопка "Принято" расположена по центру области окна «Поездка отменена»	Skipped	Skipped	
Т169	при нажатии на кнопку "Принято", окно «Поездка отменена» закроется	Skipped	Skipped	
Тестирование вёрстки: элементы на навигационной карте				
Т170	На карте при нажатии на иконку, ближайшая машина увеличивается,а над ней появляется чёрная плашка с маркой машины	Failed	Failed	Б-7
Т171	На левой панели появляется обновлённая информация о машине при нажатии на иконку	Failed	Failed	Б-8
Т172	На карте показываются автомобили всех тарифов при выборе транспорта каршеринг 	Failed	Failed	Б-9
Т173	На карте показываются свободные машины в виде иконок машин	Passed	Passed	
Т174	На карте иконки машин находятся на дороге	Failed	Failed	Б-18
Т175	Цвет иконок машин на карте - синие	Passed	Passed	
Т176	На карте показывают свободные машины для выбранного тарифа	Passed	Passed	
Т177	При смене тарифа на карте показывают другие свободные машины другого тарифа	Passed	Passed	
Т178	При наведении на иконку показывает окно наименование тарифа	Passed	Passed	
Т179	Форма окна наименование тарифа - прямоугольная	Passed	Passed	
Т180	Цвет фона внутри окна наименование тарифа - белая	Passed	Passed	
Т181	Цвет текста наименование тарифа - чёрная 	Passed	Passed	